Nr	Somali ord	Kilde	Wikipedia-treff	Godkjent?	Merknad
1	IYO	Kaikki	82904		
2	WAA	Afsoomali + Kaikki	32136		
3	SOO	Afsoomali	30078		
4	WAXAA	Afsoomali	29406		
5	WUXUU	Afsoomali	26291		
6	AYAA	Afsoomali	24931		
7	KALE	Afsoomali	21705		
8	MID	Afsoomali + Kaikki	21466		
9	WAXA	Afsoomali + Kaikki	19142		
10	BADAN	Afsoomali	17473		
11	AAD	Afsoomali	12774		
12	AMA	Afsoomali + Kaikki	11609		
13	SIDA	Afsoomali + Kaikki	10250		
14	CUSUB	Afsoomali + Kaikki	9866		
15	KALA	Afsoomali	9741		
16	DIB	Afsoomali	9642		
17	AAN	Afsoomali	8934		
18	MARKII	Afsoomali	8457		
19	LEH	Afsoomali + Kaikki	8411		
20	BOG	Afsoomali	8406		
21	ILAA	Afsoomali	8248		
22	HORE	Afsoomali	8206		
23	AHAAN	Afsoomali	8162		
24	WAX	Afsoomali + Kaikki	7736		
25	KII	Afsoomali	6300		
26	WEYN	Afsoomali + Kaikki	6076		
27	REER	Afsoomali + Kaikki	5479		
28	INTA	Afsoomali	5233		
29	SARE	Afsoomali	5038		
30	KOONFUR	Afsoomali	4936		
31	SII	Afsoomali + Kaikki	4739		
32	MARKA	Afsoomali + Kaikki	4538		
33	TIXRAAC	Afsoomali	4318		
34	GAAR	Afsoomali + Kaikki	4225		
35	YAR	Afsoomali + Kaikki	4218		
36	GUUD	Afsoomali	3932		
37	DUWAN	Afsoomali + Kaikki	3878		
38	WAXAYNA	Afsoomali	3783		
39	MAGAC	Afsoomali + Kaikki	3742		
40	TIRO	Afsoomali	3673		
41	MAANTA	Afsoomali + Kaikki	3631		
42	QOF	Afsoomali + Kaikki	3570		
43	SANO	Afsoomali	3458		
44	IYADA	Kaikki	3313		
45	MAY	Afsoomali	3268		
46	DAD	Afsoomali + Kaikki	3257		
47	LAAKIIN	Afsoomali	3140		
48	DHAN	Afsoomali + Kaikki	3066		
49	LABA	Afsoomali + Kaikki	2972		
50	HOR	Afsoomali + Kaikki	2897		
51	SOOMAALI	Afsoomali + Kaikki	2890		
52	KUWA	Afsoomali	2870		
53	SAABSAN	Afsoomali	2870		
54	QAYB	Afsoomali + Kaikki	2855		
55	DHEXE	Afsoomali	2847		
56	MEEL	Afsoomali + Kaikki	2822		
