word	approx_count
IYO	4358869
AYAA	3379746
SOO	2499910
WAXAA	1413081
LAGU	1368757
UGU	1278873
WAXA	1139847
AAN	1085649
KALE	1082397
MID	1056394
WAA	1052644
LOO	976180
AAD	917988
BADAN	853234
SHEEGAY	821202
DALKA	816741
WAXAY	791778
LAGA	788806
WAX	761047
INAY	756453
KALA	676367
SIDA	645708
TAHAY	561062
YAHAY	524974
DADKA	514386
MARKII	507300
WAXAANA	491185
MUQDISHO	487446
WUXUU	466656
AHAA	465942
UGA	460807
INUU	453185
WAXAAN	434926
AMA	427553
MAANTA	426615
GOBOLKA	422851
ISKU	415569
DIB	414152
DOWLADDA	412141
MAXAMED	406645
LEH	388938
YIHIIN	379135
SIDOO	371281
HORE	370930
PUNTLAND	360291
AYUU	334456
AHAAN	326486
WADA	311572
SII	310186
MARKA	307138
MAAMULKA	303715
LOOGU	298773
LOOGA	289785
QOF	276917
ISLA	274452
IYADOO	269993
CUSUB	268438
CALI	265586
DHACAY	263030
GAAR	256239
HADDII	255479
SHABAAB	251968
KUWA	251150
INTA	249742
TIRSAN	248882
WEYN	247068
XASAN	241439
AXMED	239161
WASIIRKA	236765
JIRA	234956
LAHAA	228921
DAD	227936
KOOXDA	220632
SHACABKA	217445
KENYA	213261
GUUD	211900
HADLAY	211125
GOLAHA	209810
DEGMADA	207803
SIDII	205698
KADIB	205625
YIRI	204063
DOONO	199459
DUWAN	198440
SHEEKH	196480
QAAR	194647
SARE	192817
LABADA	192029
KASTA	191649
MAR	191258
BULSHADA	189385
HOR	188781
LAAKIIN	188491
ISKA	188089
ILAA	184976
KASOO	183873
ARRIMAHA	183337
REER	183103
MEEL	181459
ISAGA	181200
DHAN	179015
KII	175213
CABDI	174789
JIRAY	174778
BALSE	174373
QAADAY	171047
HAY	171038
AHAYD	170372
KARO	168697
COM	167838
KAGA	161435
CIIDANKA	159930
WARARKA	158971
HADDA	158759
ISAGOO	157966
MUDANE	156582
MARKAANA	156073
SOCDA	156039
NIN	155576
YAR	155283
DHEX	155074
BAXAY	154179
XARUNTA	152670
GALAY	150108
GUDAHA	149883
ITOOBIYA	149506
HOOSE	149083
AYSAN	147337
KAMID	146214
KULA	145852
AADAN	144609
DHANKA	143591
LEEYAHAY	142814
LABA	142624
QARANKA	141813
HALKA	141112
DOWLADA	140422
DHEXE	138479
MAXAMUUD	137300
AYAY	135791
INAAD	134197
DOONAAN	133988
SANO	133893
QAYB	132429
DHINACA	132282
SOMALIA	132044
TAAS	129388
YIDHI	129263
INAAN	127615
WAXAYNA	127511
XISBIGA	125541
BAAHAN	124845
MADAXDA	123922
QEYB	123061
DHEER	122486
HARGEYSA	122439
WIXII	121827
AFRIKA	121752
WAR	121734
SHEEGTAY	121734
AYAAN	119591
WAXAAD	119183
AANU	118410
QABTAY	118038
MUDDO	117687
DAWLADDA	117493
JIRAAN	115120
WALBA	115038
IYADA	114557
AMNIGA	114045
DAGAAL	113962
HAL	113342
KULAN	111378
WUXUUNA	111165
DOONAA	109940
DEG	109775
CUMAR	109760
SHALAY	109734
SHIRKA	109619
TAN	108754
ISUGU	107723
SAABSAN	107456
IISUL	105766
KUSOO	105707
NOQON	105663
MAAMUL	105613
AHAYN	104908
GALMUDUG	103037
NOOL	102195
BEESHA	101805
XIGEENKA	101376
JIRO	100614
SUGAN	99677
FARMAAJO	99595
GAARAY	98631
LEEDAHAY	98531
MAS	98031
DAGAALKA	97352
GACANTA	96658
FIICAN	95806
DILAY	95376
DHASHAY	95326
ADAG	94536
DHIGAY	94414
KARIN	94280
URURKA	94102
DOONA	94017
AMISOM	93398
KUWAAS	93306
CAALAMKA	93075
KALIYA	93045
HADII	92887
WAANA	92567
XAFIISKA	92465
HOOS	92423
DAAWO	92378
AANAY	92190
SHEEGEEN	91735
JIRTO	91286
WAAYO	91219
WELI	91176
XILKA	90207
SHIR	89680
KUWO	89089
SHEEGAYA	88506
SAARAY	88393
GAROONKA	87856
DHAMMAAN	87713
YIMID	87533
IYAGOO	87437
SHAQO	87238
KARTAA	86729
IYAGA	86411
QAATAY	86101
WAXAANU	86012
MUUSE	85545
