word	approx_count	status
LAGU	1368757	needs_human_review
UGU	1278873	needs_human_review
LOO	976180	needs_human_review
SHEEGAY	821202	needs_human_review
DALKA	816741	needs_human_review
WAXAY	791778	needs_human_review
LAGA	788806	needs_human_review
INAY	756453	needs_human_review
TAHAY	561062	needs_human_review
YAHAY	524974	needs_human_review
DADKA	514386	needs_human_review
WAXAANA	491185	needs_human_review
MUQDISHO	487446	needs_human_review
AHAA	465942	needs_human_review
UGA	460807	needs_human_review
INUU	453185	needs_human_review
WAXAAN	434926	needs_human_review
GOBOLKA	422851	needs_human_review
ISKU	415569	needs_human_review
DOWLADDA	412141	needs_human_review
YIHIIN	379135	needs_human_review
SIDOO	371281	needs_human_review
PUNTLAND	360291	needs_human_review
AYUU	334456	needs_human_review
MAAMULKA	303715	needs_human_review
LOOGU	298773	needs_human_review
LOOGA	289785	needs_human_review
ISLA	274452	needs_human_review
IYADOO	269993	needs_human_review
DHACAY	263030	needs_human_review
WASIIRKA	236765	needs_human_review
JIRA	234956	needs_human_review
LAHAA	228921	needs_human_review
KOOXDA	220632	needs_human_review
SHACABKA	217445	needs_human_review
KENYA	213261	needs_human_review
HADLAY	211125	needs_human_review
GOLAHA	209810	needs_human_review
DEGMADA	207803	needs_human_review
YIRI	204063	needs_human_review
LABADA	192029	needs_human_review
BULSHADA	189385	needs_human_review
KASOO	183873	needs_human_review
ARRIMAHA	183337	needs_human_review
CABDI	174789	needs_human_review
JIRAY	174778	needs_human_review
BALSE	174373	needs_human_review
QAADAY	171047	needs_human_review
AHAYD	170372	needs_human_review
COM	167838	needs_human_review
KAGA	161435	needs_human_review
CIIDANKA	159930	needs_human_review
WARARKA	158971	needs_human_review
HADDA	158759	needs_human_review
ISAGOO	157966	needs_human_review
MARKAANA	156073	needs_human_review
SOCDA	156039	needs_human_review
BAXAY	154179	needs_human_review
GALAY	150108	needs_human_review
GUDAHA	149883	needs_human_review
AYSAN	147337	needs_human_review
KAMID	146214	needs_human_review
KULA	145852	needs_human_review
AADAN	144609	needs_human_review
DHANKA	143591	needs_human_review
LEEYAHAY	142814	needs_human_review
QARANKA	141813	needs_human_review
HALKA	141112	needs_human_review
DOWLADA	140422	needs_human_review
AYAY	135791	needs_human_review
INAAD	134197	needs_human_review
DOONAAN	133988	needs_human_review
DHINACA	132282	needs_human_review
SOMALIA	132044	needs_human_review
YIDHI	129263	needs_human_review
INAAN	127615	needs_human_review
XISBIGA	125541	needs_human_review
MADAXDA	123922	needs_human_review
QEYB	123061	needs_human_review
HARGEYSA	122439	needs_human_review
WIXII	121827	needs_human_review
AFRIKA	121752	needs_human_review
SHEEGTAY	121734	needs_human_review
WAXAAD	119183	needs_human_review
AANU	118410	needs_human_review
QABTAY	118038	needs_human_review
DAWLADDA	117493	needs_human_review
JIRAAN	115120	needs_human_review
AMNIGA	114045	needs_human_review
WUXUUNA	111165	needs_human_review
DOONAA	109940	needs_human_review
SHIRKA	109619	needs_human_review
ISUGU	107723	needs_human_review
IISUL	105766	needs_human_review
KUSOO	105707	needs_human_review
NOQON	105663	needs_human_review
AHAYN	104908	needs_human_review
GALMUDUG	103037	needs_human_review
BEESHA	101805	needs_human_review
XIGEENKA	101376	needs_human_review
JIRO	100614	needs_human_review
GAARAY	98631	needs_human_review
LEEDAHAY	98531	needs_human_review
DAGAALKA	97352	needs_human_review
GACANTA	96658	needs_human_review
DILAY	95376	needs_human_review
DHASHAY	95326	needs_human_review
DHIGAY	94414	needs_human_review
URURKA	94102	needs_human_review
DOONA	94017	needs_human_review
AMISOM	93398	needs_human_review
CAALAMKA	93075	needs_human_review
KALIYA	93045	needs_human_review
HADII	92887	needs_human_review
WAANA	92567	needs_human_review
XAFIISKA	92465	needs_human_review
AANAY	92190	needs_human_review
SHEEGEEN	91735	needs_human_review
JIRTO	91286	needs_human_review
XILKA	90207	needs_human_review
SHEEGAYA	88506	needs_human_review
SAARAY	88393	needs_human_review
GAROONKA	87856	needs_human_review
YIMID	87533	needs_human_review
IYAGOO	87437	needs_human_review
KARTAA	86729	needs_human_review
QAATAY	86101	needs_human_review
WAXAANU	86012	needs_human_review
MUUSE	85545	needs_human_review
KISMAAYO	85412	needs_human_review
FAA	85204	needs_human_review
DHAMAAN	83962	needs_human_review
QOFKA	83440	needs_human_review
SOCDAY	83329	needs_human_review
KARAA	83271	needs_human_review
MEESHA	82658	needs_human_review
HALKAAS	81559	needs_human_review
LAHAYN	81515	needs_human_review
ULA	80897	needs_human_review
TAASI	80840	needs_human_review
DADKII	80786	needs_human_review
BOOLISKA	80265	needs_human_review
HALKAASI	79852	needs_human_review
GUDDIGA	79757	needs_human_review
INTII	79299	needs_human_review
XUSEEN	77882	needs_human_review
DHACDAY	76958	needs_human_review
QABAN	76563	needs_human_review
ADDA	75871	needs_human_review
DHULKA	75639	needs_human_review
MORE	75508	needs_human_review
AYNU	75438	needs_human_review
HALKAN	74977	needs_human_review
SIDAA	74762	needs_human_review
WADANKA	74616	needs_human_review
DOONTO	74230	needs_human_review
UUSAN	74171	needs_human_review
INEY	74031	needs_human_review
NOQDAY	73920	needs_human_review
AMMAANKA	73699	needs_human_review
AYEY	73451	needs_human_review
AYNA	73434	needs_human_review
KULANKA	72460	needs_human_review
QARAMADA	72414	needs_human_review
JIRTA	72411	needs_human_review
ISU	72192	needs_human_review
SHAQADA	72124	needs_human_review
SAMEEYAY	72111	needs_human_review
HELI	71764	needs_human_review
KARA	71647	needs_human_review
CIIDAMO	70737	needs_human_review
XUBNAHA	70571	needs_human_review
TURKIGA	70318	needs_human_review
YURUB	70271	needs_human_review
HELAY	69133	needs_human_review
SANADKII	68884	needs_human_review
TALIYAHA	68811	needs_human_review
DALALKA	68640	needs_human_review
LASOO	67947	needs_human_review
DHAAFAY	66625	needs_human_review
DHAQANKA	65928	needs_human_review
SABABTA	65878	needs_human_review
MIDOWGA	65568	needs_human_review
DHISMAHA	65008	needs_human_review
GOBOLADA	64930	needs_human_review
WARAR	64821	needs_human_review
HADA	64787	needs_human_review
WASAARE	64474	needs_human_review
TAASOO	64438	needs_human_review
KAMA	64158	needs_human_review
BISHII	63854	needs_human_review
LALA	63515	needs_human_review
ARIMAHA	63436	needs_human_review
KALENA	63391	needs_human_review
